,__id,__site_id,__title,__subtitle,__seller_id,__category_id,__official_store_id,__price,__base_price,__original_price,__currency_id,__initial_quantity,__available_quantity,__sold_quantity,__buying_mode,__listing_type_id,__start_time,__stop_time,__condition,__permalink,__thumbnail_id,__thumbnail,__secure_thumbnail,__video_id,__accepts_mercadopago,__non_mercado_pago_payment_methods,__shipping__mode,__shipping__tags,__shipping__dimensions,__shipping__local_pick_up,__shipping__free_shipping,__shipping__logistic_type,__shipping__store_pick_up,__international_delivery_mode,__seller_address__city__name,__seller_address__state__id,__seller_address__state__name,__seller_address__country__id,__seller_address__country__name,__seller_address__search_location__neighborhood__id,__seller_address__search_location__neighborhood__name,__seller_address__search_location__city__id,__seller_address__search_location__city__name,__seller_address__search_location__state__id,__seller_address__search_location__state__name,__seller_address__id,__seller_contact,__coverage_areas,__warnings,__listing_source,__status,__sub_status,__tags,__warranty,__catalog_product_id,__domain_id,__parent_item_id,__differential_pricing,__deal_ids,__automatic_relist,__date_created,__last_updated,__health,__catalog_listing,__sale_terms_0__id,__sale_terms_0__name,__sale_terms_0__value_id,__sale_terms_0__value_name,__sale_terms_0__value_struct__number,__sale_terms_0__value_struct__unit,__sale_terms_1__id,__sale_terms_1__name,__sale_terms_1__value_id,__sale_terms_1__value_name,__sale_terms_1__value_struct,__sale_terms_2,__descriptions_0__id,__descriptions_1,__shipping__free_methods_0__id,__shipping__free_methods_0__rule__default,__shipping__free_methods_0__rule__free_mode,__shipping__free_methods_0__rule__free_shipping_flag,__shipping__free_methods_0__rule__value,__shipping__free_methods_1,__variations_0__id,__variations_0__price,__variations_0__available_quantity,__variations_0__sold_quantity,__variations_0__sale_terms,__variations_0__picture_ids,__variations_0__catalog_product_id,__variations_1,BRAND,CORES_NUMBER,DISPLAY_REFRESH_RATE,DISPLAY_RESOLUTION,DISPLAY_SIZE,DISPLAY_TYPE,GPU,HARD_DRIVE_DATA_STORAGE_CAPACITY,IS_2_IN_1,IS_GAMER,IS_ULTRABOOK,ITEM_CONDITION,LINE,MODEL,NOTEBOOK_BATTERY_TYPE,OPTANE_CAPACITY,OPTICAL_DRIVES,OS_EDITION,OS_NAME,OS_VERSION,PROCESSOR_BRAND,PROCESSOR_LINE,RAM_MEMORY,RAM_MEMORY_TYPE,RESOLUTION_TYPE,SSD_DATA_STORAGE_CAPACITY,USB_PORTS_NUMBER,VIDEO_MEMORY,WEIGHT,WITH_BLUETOOTH,WITH_HDMI,WITH_TOUCH_SCREEN,WITH_USB,WITH_WEBCAM,pictures,__sale_terms_2__id,__sale_terms_2__name,__sale_terms_2__value_id,__sale_terms_2__value_name,__sale_terms_2__value_struct,__sale_terms_2__values,__sale_terms_3,ASPECT_RATIO,BATTERY_LIFE,DEPTH,EXCLUSIVE_CHANNEL,HEIGHT,MAX_SUPPORTED_RAM_MEMORY_CAPACITY,PROCESSOR_MODEL,PROCESSOR_SPEED,RAM_MEMORY_SPEED,RAM_SLOTS_NUMBER,SOUND_MODES,SPEAKERS_NUMBER,SSD_INTERFACE,USB_PORTS_TYPES,VIDEO_PORTS,WEBCAM_RESOLUTION,WIDTH,WITH_ETHERNET_PORT,WITH_HEADPHONES_OUTPUT,WITH_MEMORY_CARD_READER,WITH_MICROPHONE,WITH_WI_FI,__sale_terms_0__value_struct,__sale_terms_1__value_struct__number,__sale_terms_1__value_struct__unit,ADDITIONAL_INFO_REQUIRED,BATTERIES_FEATURES,PRODUCT_FEATURES,SHIPMENT_PACKING,HARD_DRIVE_INTERFACE,INCLUDES_PENCIL,IS_KIT,VIDEO_MEMORY_TYPES,WITH_ANTIREFLEX_SCREEN,WITH_BACKLIGHT_KEYBOARD,WITH_FINGERPRINT_READER,WITH_RETINA_DISPLAY,WITH_NUMERIC_PAD,DATA_STORAGE_TYPE,STORAGE,ALPHANUMERIC_MODEL,__seller_address__city__id,__sale_terms,__variations,GTIN,PACKAGE_HEIGHT,PACKAGE_LENGTH,PACKAGE_WEIGHT,PACKAGE_WIDTH,SELLER_SKU,__variations_1__id,__variations_1__price,__variations_1__attribute_combinations,__variations_1__available_quantity,__variations_1__sold_quantity,__variations_1__sale_terms,__variations_1__picture_ids,__variations_1__catalog_product_id,__variations_2__id,__variations_2__price,__variations_2__attribute_combinations,__variations_2__available_quantity,__variations_2__sold_quantity,__variations_2__sale_terms,__variations_2__picture_ids,__variations_2__catalog_product_id,__variations_3,MANUFACTURING_TIME,__variations_2,DETAILED_MODEL,PRODUCT_DATA_SOURCE,MAIN_COLOR,__sale_terms_2__value_struct__number,__sale_terms_2__value_struct__unit,__non_mercado_pago_payment_methods_0__id,__non_mercado_pago_payment_methods_0__description,__non_mercado_pago_payment_methods_0__type,__non_mercado_pago_payment_methods_1,__non_mercado_pago_payment_methods_1__id,__non_mercado_pago_payment_methods_1__description,__non_mercado_pago_payment_methods_1__type,__non_mercado_pago_payment_methods_2,SERIES,DESCRIPTIVE_TAGS,MAXIMUM_AMOUNT_OF_RAM,PROCESSOR,__descriptions,PART_NUMBER,COLOR,__shipping__methods,__sale_terms_1
0,MLA904191375,MLA,Notebook Positivo Bgh At500 Cloudbook Intel Celeron 4gb 64gb,,109089,MLA1652,,31999.0,31999.0,,ARS,164,50,50,buy_it_now,gold_special,2021-01-14T13:15:43.000Z,2041-01-09T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-904191375-notebook-positivo-bgh-at500-cloudbook-intel-celeron-4gb-64gb-_JM,919909-MLA44580950507_012021,http://http2.mlstatic.com/D_919909-MLA44580950507_012021-I.jpg,https://http2.mlstatic.com/D_919909-MLA44580950507_012021-I.jpg,,True,[],me2,"['self_service_in', 'mandatory_free_shipping']",,True,True,cross_docking,True,none,"Versailles, Velez Sarsfield, Liniers",AR-C,Capital Federal,AR,Argentina,TUxBQlZFUjY3MDFa,Versalles,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,244177400,,[],[],,active,[],"['good_quality_thumbnail', 'loyalty_discount_eligible', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 6 meses,,MLA-NOTEBOOKS,,,[],False,2021-01-14T13:15:43.000Z,2021-03-11T21:14:32.000Z,0.9,False,WARRANTY_TIME,Tiempo de garantía,,6 meses,6.0,meses,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,MLA904191375-3165305604,,73328.0,True,country,True,,,73024620174.0,31999.0,50.0,50.0,[],"['919909-MLA44580950507_012021', '627750-MLA44580950505_012021', '617791-MLA44580950504_012021', '914483-MLA44580950503_012021', '659631-MLA44580950506_012021']",,,BGH,2,60 Hz,1366 x 768,"14 """,LED,Integrada,,No,No,Sí,Nuevo,AT,AT500,Batería: 4800 mAh,,,Home,Windows,10,Intel,Celeron,4 GB,DDR4,HD,64 GB,2,,2 kg,Sí,Sí,No,Sí,Sí,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MLA884925033,MLA,Notebook Hp Amd Ryzen 3 3250u 4gb 128gb Ssd Windows 10,,174556876,MLA1652,,59999.0,59999.0,74999,ARS,1015,100,500,buy_it_now,gold_special,2020-10-22T13:07:12.000Z,2040-10-17T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-884925033-notebook-hp-amd-ryzen-3-3250u-4gb-128gb-ssd-windows-10-_JM,852751-MLA43878190921_102020,http://http2.mlstatic.com/D_852751-MLA43878190921_102020-I.jpg,https://http2.mlstatic.com/D_852751-MLA43878190921_102020-I.jpg,,True,[],me2,"['self_service_in', 'mandatory_free_shipping']",,True,True,cross_docking,False,none,Villa Crespo,AR-C,Capital Federal,AR,Argentina,TUxBQlZJTDQyMjBa,Villa Crespo,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,155782338,,[],[],,active,[],"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16041765,MLA-NOTEBOOKS,,,['MLA5779'],False,2020-10-22T13:07:12.000Z,2021-03-11T20:40:06.000Z,0.9,False,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,PURCHASE_MAX_QUANTITY,Cantidad máxima de compra,,5,,,MLA884925033-2997625249,,73328.0,True,country,True,,,66511728041.0,59999.0,100.0,500.0,[],"['852751-MLA43878190921_102020', '853184-MLA43832677125_102020', '947308-MLA43878203705_102020']",MLA16041765,,HP,,3.5 Hz,1366 px x 768 px,"14 """,LED,3250U,,No,Sí,No,Nuevo,Premium,14-DK1022WM,Ion de litio,,,Home,Windows,10,AMD,Ryzen 3,4 GB,DDR4,HD,128 GB,3,,1.69 kg,Sí,Sí,No,Sí,Sí,3,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,"[{'id': '2230279', 'name': 'Garantía de fábrica', 'struct': None}]",,16:9,8 h,22.59 cm,Mercado Libre,1.99 cm,16 GB,3250U,3.5 GHz,2666 MHz,2,Stereo,2,PCIe,"3.1,C",HDMI,1 Mpx,32.4 cm,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MLA845307107,MLA,Notebook Gadnic Glow Cloudbook Intel 4gb Windows 10 + Funda,,37133205,MLA1652,945,35999.0,35999.0,,ARS,1118,250,500,buy_it_now,gold_special,2020-03-25T18:57:50.000Z,2040-04-06T20:45:39.000Z,new,https://articulo.mercadolibre.com.ar/MLA-845307107-notebook-gadnic-glow-cloudbook-intel-4gb-windows-10-funda-_JM,986470-MLA43608468422_092020,http://http2.mlstatic.com/D_986470-MLA43608468422_092020-I.jpg,https://http2.mlstatic.com/D_986470-MLA43608468422_092020-I.jpg,NQ4xG3GNAA4,True,[],me2,"['self_service_in', 'mandatory_free_shipping']",,False,True,cross_docking,False,none,Villa Ortúzar,AR-C,Capital Federal,AR,Argentina,TUxBQlZJTDQyMjFa,Villa Ortúzar,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,188999351,,[],[],,active,[],"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,,,[],False,2020-03-25T18:57:51.000Z,2021-03-11T21:46:18.000Z,0.8,False,WARRANTY_TYPE,Tipo de garantía,2230280,Garantía del vendedor,,,WARRANTY_TIME,Tiempo de garantía,,12 meses,,,MLA845307107-2582207387,,73328.0,True,country,True,,,64976350882.0,35999.0,250.0,500.0,[],"['986470-MLA43608468422_092020', '779913-MLA43608468423_092020', '996707-MLA43608468419_092020', '722149-MLA43608468420_092020', '804839-MLA43608468421_092020', '825968-MLA43608468416_092020', '955460-MLA43608468415_092020', '625636-MLA43608468418_092020', '689477-MLA43608468417_092020', '828464-MLA43608468414_092020']",,,Gadnic,2,,1366 x 768,"14 """,LED,,64 GB,No,No,Sí,Nuevo,Gadnic,NOT000A3,Litio,,,Home,Windows,10,Intel,Atom,4 GB,DDR3,,64 GB,2,,1.2 kg,Sí,Sí,No,Sí,Sí,10,,,,,,,,,,230 mm,,10 mm,,N3350,1.1 GHz,1.44 GHz,,,,,2.0,Mini HDMI,,350 mm,,Sí,Sí,Sí,Sí,,12.0,meses,Tiene número de serie,De litio instaladas,Frágil,Caja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MLA879479072,MLA,Notebook Core I3 14'' Memoria 4gb Almacenaje 256gb - Tedge,,417972986,MLA1652,1824,67999.0,67999.0,74000,ARS,1000,500,25,buy_it_now,gold_pro,2020-09-18T21:26:54.000Z,2041-02-15T04:19:50.000Z,new,https://articulo.mercadolibre.com.ar/MLA-879479072-notebook-core-i3-14-memoria-4gb-almacenaje-256gb-tedge-_JM,676510-MLA44963048538_022021,http://http2.mlstatic.com/D_676510-MLA44963048538_022021-I.jpg,https://http2.mlstatic.com/D_676510-MLA44963048538_022021-I.jpg,,True,[],me2,['mandatory_free_shipping'],,False,True,fulfillment,False,none,Villa Celina,AR-B,Buenos Aires,AR,Argentina,TVhYVmlsbGEgQ2VsaW5hVFV4QlEweEJUV0YwW,Villa Celina,TUxBQ0xBTWF0YW56,La Matanza,TUxBUEdSQWVmNTVm,Bs.As. G.B.A. Oeste,1055269304,,[],[],,active,[],"['loyalty_discount_eligible', 'ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,,,"['MLA4186', 'MLA5717']",False,2020-09-18T21:26:54.000Z,2021-03-11T18:40:26.641Z,1.0,False,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,MLA879479072-3047383569,,73328.0,True,country,True,,,64349368188.0,67999.0,500.0,25.0,[],"['676510-MLA44963048538_022021', '847310-MLA44938746205_022021', '628144-MLA44938724797_022021', '920084-MLA44938746200_022021', '969877-MLA44938754020_022021', '852606-MLA44938746198_022021', '849778-MLA44938724789_022021', '789082-MLA44938734482_022021', '891371-MLA44938785305_022021', '969298-MLA43508654282_092020']",,,Tedge,2,,1920 x 1080,"14 """,IPS,Intel® Iris® 550,,No,No,No,Nuevo,Celeron,NBi3-256/6/01,Litio 11.1V 3200mAh,,,2004,Windows,Home SL,Intel,6ta Generación,4 GB,DDR3,,256 GB,2,,1.49 kg,Sí,Sí,No,Sí,Sí,10,,,,,,,,16:9,3 h,332.6 mm,,21.5 mm,4 GB,Core™ i3-6157U,2.4 GHz,1600 MHz,,Estereo,2,M.2,3.0,1,2 Mpx,223.5 mm,Sí,Sí,Sí,Sí,Sí,,,,,,,,,No,,DRAM,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MLA904982448,MLA,Notebook Dell Inspiron 15 Ryzen 5 Radeon Vega 8 8gb 256ssd,,608846165,MLA1652,1938,84999.0,84999.0,,ARS,797,250,500,buy_it_now,gold_special,2021-01-20T19:02:40.000Z,2041-01-22T19:59:06.000Z,new,https://articulo.mercadolibre.com.ar/MLA-904982448-notebook-dell-inspiron-15-ryzen-5-radeon-vega-8-8gb-256ssd-_JM,982763-MLA44653693326_012021,http://http2.mlstatic.com/D_982763-MLA44653693326_012021-I.jpg,https://http2.mlstatic.com/D_982763-MLA44653693326_012021-I.jpg,,True,[],me2,['mandatory_free_shipping'],,False,True,fulfillment,False,none,Villa Celina,AR-B,Buenos Aires,AR,Argentina,TVhYVmlsbGEgQ2VsaW5hVFV4QlEweEJUV0YwW,Villa Celina,TUxBQ0xBTWF0YW56,La Matanza,TUxBUEdSQWVmNTVm,Bs.As. G.B.A. Oeste,1118245173,,[],[],,active,[],"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16537305,MLA-NOTEBOOKS,,,[],False,2021-01-20T19:02:40.000Z,2021-03-11T21:52:49.052Z,0.87,False,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,MLA904982448-3180482655,,73328.0,True,country,True,,,73600318925.0,84999.0,250.0,500.0,[],"['982763-MLA44653693326_012021', '841415-MLA44653693327_012021']",MLA16537306,,Dell,4,60 Hz,1366 x 768,"15.6 """,LED,AMD Radeon Vega 8,,No,No,No,Nuevo,Inspiron,3505,Polímero de litio,,,Home,Windows,10,AMD,Ryzen 5 3450u,8 GB,DDR4,HD,256 GB,3,,1.96 kg,Sí,Sí,No,Sí,Sí,2,,,,,,,,,,249 mm,,19.9 mm,16 GB,,,2400 MHz,2,Stereo,2,,"2.0,3.1",HDMI,,364 mm,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,Sí,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MLA886651108,MLA,Notebook Hp 15-cw1027la Amd Ryzen 7 3700u 12gb 512gb Ss2 W10,,260474743,MLA1652,317,129999.0,129999.0,,ARS,379,1,250,buy_it_now,gold_special,2020-11-03T20:25:53.000Z,2040-12-13T16:46:16.000Z,new,https://articulo.mercadolibre.com.ar/MLA-886651108-notebook-hp-15-cw1027la-amd-ryzen-7-3700u-12gb-512gb-ss2-w10-_JM,805409-MLA43981231063_112020,http://http2.mlstatic.com/D_805409-MLA43981231063_112020-I.jpg,https://http2.mlstatic.com/D_805409-MLA43981231063_112020-I.jpg,,True,[],me2,"['self_service_in', 'mandatory_free_shipping']",,False,True,fulfillment,False,none,Capital Federal,AR-C,Capital Federal,AR,Argentina,TUxBQk1PTjE2OTBa,Monte Castro,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,275413826,,[],[],,active,[],"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16369220,MLA-NOTEBOOKS,,,[],False,2020-11-03T20:25:54.000Z,2021-03-11T12:35:01.000Z,0.87,False,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,MLA886651108-3021037115,,73328.0,True,country,True,,,67350624217.0,129999.0,1.0,250.0,[],"['805409-MLA43981231063_112020', '655837-MLA43981226196_112020', '640554-MLA43981208717_112020', '985407-MLA43981231060_112020', '815358-MLA43981208718_112020', '901513-MLA43981226246_112020', '775595-MLA43981216554_112020', '846715-MLA43981202954_112020']",MLA16369220,,HP,4,60 Hz,1920 x 1080,"15.6 """,LED,AMD Radeon Vega 10,,No,No,No,Nuevo,Pavilion,15-CW1027LA,Iones de litio de 3 celdas y 41 Wh,,,Home,Windows,10,AMD,Ryzen 7,12 GB,DDR4,Full HD,512 GB,3,,1.94 kg,Sí,Sí,No,Sí,Sí,8,,,,,,,,16:9,9 h,245.6 mm,,17.9 mm,,3700U,2.3 GHz,2400 MHz,,Bang & Olufsen,2,PCIe,3.1,HDMI,,361.6 mm,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MLA863283038,MLA,Notebook Hp Intel N3060 4gb 500gb 15.6 Pulgadas ,,174556876,MLA1652,,54999.0,54999.0,68999,ARS,310,1,250,buy_it_now,gold_special,2020-06-19T20:03:46.000Z,2040-06-14T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-863283038-notebook-hp-intel-n3060-4gb-500gb-156-pulgadas-_JM,709107-MLA42880757776_072020,http://http2.mlstatic.com/D_709107-MLA42880757776_072020-I.jpg,https://http2.mlstatic.com/D_709107-MLA42880757776_072020-I.jpg,,True,[],me2,"['self_service_in', 'mandatory_free_shipping']",,True,True,cross_docking,False,none,Villa Crespo,AR-C,Capital Federal,AR,Argentina,TUxBQlZJTDQyMjBa,Villa Crespo,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,155782338,,[],[],,active,[],"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15911466,MLA-NOTEBOOKS,,,['MLA5779'],False,2020-06-19T20:03:46.000Z,2021-03-11T18:14:48.640Z,0.9,False,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,WARRANTY_TIME,Tiempo de garantía,,12 meses,,,MLA863283038-2738103841,,73328.0,True,country,True,,,58597211705.0,54999.0,1.0,250.0,[],"['709107-MLA42880757776_072020', '747676-MLA42273501865_062020', '857046-MLA42880764805_072020', '809387-MLA42880796292_072020']",MLA15911466,,HP,,,1366 x 768,"15.6 """,LED,HD Graphics 400,500 GB,No,No,No,Nuevo,15-ra008nia,3QT49EA,,,,NO INCLUYE,FreeDOS,,Intel,,4 GB,,HD,,3,,,Sí,Sí,No,Sí,,4,,,,,,,,16:9,11 h,25.38 cm,,2.38 cm,8 GB,N3060,2.48 GHz,,1,Stereo,2,,"2.0,3.1",HDMI,,38 cm,,Sí,,Sí,Sí,,12.0,meses,,,,,SATA 1,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MLA685463353,MLA,Notebook Lenovo I3 8gb Ddr4 1tb 15.6,,174556876,MLA1652,,67999.0,67999.0,,ARS,793,1,250,buy_it_now,gold_special,2017-09-29T20:03:25.000Z,2038-05-19T17:47:02.000Z,new,https://articulo.mercadolibre.com.ar/MLA-685463353-notebook-lenovo-i3-8gb-ddr4-1tb-156-_JM,707793-MLA43987833591_112020,http://http2.mlstatic.com/D_707793-MLA43987833591_112020-I.jpg,https://http2.mlstatic.com/D_707793-MLA43987833591_112020-I.jpg,,True,[],me2,"['self_service_in', 'mandatory_free_shipping']",,False,True,cross_docking,False,none,Villa Crespo,AR-C,Capital Federal,AR,Argentina,TUxBQlZJTDQyMjBa,Villa Crespo,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,155782338,,[],[],,active,[],"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15488529,MLA-NOTEBOOKS,,,[],False,2017-09-29T20:03:25.000Z,2021-03-11T21:28:35.853Z,0.9,False,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,MLA685463353-1455033519,,73328.0,True,country,True,,,67398067280.0,67999.0,1.0,250.0,[],"['707793-MLA43987833591_112020', '702512-MLA43987811687_112020', '891244-MLA43987805854_112020', '882340-MLA43987808810_112020', '707025-MLA43987846334_112020', '701834-MLA43987838490_112020']",MLA15844088,,Lenovo,2,60 Hz,1366 x 768 LED,15.6 pulgadas,LED,Intel UHD Graphics 620,1 TB,No,No,No,Nuevo,V130,81HN00Y2AK,,,Unidad de DVD,,FreeDOS,,Intel,Core i3,8 GB,DDR4,HD,,1,,,Sí,Sí,No,Sí,Sí,6,,,,,,,,16:9,5 h,378 mm,Mercado Libre,260 mm,12 GB,8130U,2.4 GHz,0 MHz,1,Dolby digital,2,,3.0,HDMI,1 Mpx,22.9 mm,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,DDR4,Sí,,,No,Sí,Disco rígido,1 TB,V130-15IKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MLA900445090,MLA,"Notebook Asus Vivobook I3 1005g1 128gb 4gb15,6'' Touchscreen",,187140437,MLA1652,,67199.16,67199.16,79999,ARS,84,1,50,buy_it_now,gold_special,2020-12-09T21:12:06.000Z,2040-12-23T15:58:05.000Z,new,https://articulo.mercadolibre.com.ar/MLA-900445090-notebook-asus-vivobook-i3-1005g1-128gb-4gb156-touchscreen-_JM,728910-MLA44285306458_122020,http://http2.mlstatic.com/D_728910-MLA44285306458_122020-I.jpg,https://http2.mlstatic.com/D_728910-MLA44285306458_122020-I.jpg,,True,[],me2,['mandatory_free_shipping'],,False,True,fulfillment,False,none,Junín,AR-B,Buenos Aires,AR,Argentina,,,TUxBQ0pVTjE5NjM,Junín,TUxBUFpPTmFpbnRl,Buenos Aires Interior,164955236,,[],[],,active,[],"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA16173019,MLA-NOTEBOOKS,,,[],False,2020-12-09T21:12:07.000Z,2021-03-11T20:43:01.481Z,0.87,False,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,MLA900445090-3095798346,,73328.0,True,country,True,,,70294997742.0,67199.16,1.0,50.0,[],"['728910-MLA44285306458_122020', '612043-MLA44286239668_122020', '690621-MLA44285279898_122020', '927856-MLA44285334105_122020', '612191-MLA44285296691_122020', '737368-MLA44285275973_122020', '760148-MLA44285334217_122020']",MLA16173019,,Asus,4,60 Hz,1920 px x 1080 px,"15.6 """,LED,Intel UHD Graphics,,No,No,Sí,Nuevo,VivoBook,R564JA,Ion de litio,,,Home,Windows,10,Intel,Core i3,4 GB,DDR4,Full HD,128 GB,3,512 GB,1.59 kg,Sí,Sí,Sí,Sí,Sí,7,,,,,,,,16:9,5 h,231.1 mm,,20.3 mm,,1005G1,3.4 GHz,2400 MHz,,Stereo,2,PCIe,"2.0,3.2",HDMI,1 Mpx,358.1 mm,,Sí,Sí,Sí,Sí,,,,,,,,,,,,Sí,,Sí,,Sí,,,,TUxBQ0pVTjE5NjM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MLA902683866,MLA,Notebook Positivo Bgh At 550 Celeron N3350 14  Hd 4gb 500gb,,142125695,MLA1652,,50829.0,50829.0,,ARS,292,50,200,buy_it_now,gold_pro,2020-12-30T18:26:43.000Z,2040-12-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-902683866-notebook-positivo-bgh-at-550-celeron-n3350-14-hd-4gb-500gb-_JM,708324-MLA44492190397_012021,http://http2.mlstatic.com/D_708324-MLA44492190397_012021-I.jpg,https://http2.mlstatic.com/D_708324-MLA44492190397_012021-I.jpg,,True,[],me2,"['self_service_in', 'mandatory_free_shipping']",,True,True,cross_docking,False,none,Monte Castro,AR-C,Capital Federal,AR,Argentina,TUxBQk1PTjE2OTBa,Monte Castro,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,136800287,,[],[],,active,[],"['good_quality_thumbnail', 'ahora-12', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment']",,,MLA-NOTEBOOKS,,,[],False,2020-12-30T18:26:43.000Z,2021-03-11T21:53:59.651Z,0.9,False,,,,,,,,,,,,,MLA902683866-3134606615,,73328.0,True,country,True,,,72053239016.0,50829.0,50.0,200.0,[],"['708324-MLA44492190397_012021', '741491-MLA44456196087_122020', '961271-MLA44456196085_122020', '801161-MLA44492199281_012021', '874173-MLA44492171748_012021', '675930-MLA44492199282_012021', '840953-MLA44456196084_122020', '683269-MLA44456196088_122020', '805075-MLA44456196086_122020', '616753-MLA44456196083_122020']",,,Positivo BGH,2,60 Hz,HD,"14 """,,Intel Graphics HD,500 GB,No,No,No,Nuevo,AT,PIK056392,Ion de litio,,no,Home,Windows,Home,Intel,Celeron,4 GB,DDR4,,,,,1.4 kg,Sí,Sí,No,Sí,Sí,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,TUxBQk1PTjE2OTBa,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
